,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2022-05-15,12.7203665,12.611078,11.734736,10.966346,10.335467,11.528279,10.376917,11.179756,11.707534,11.186229
2022-06-15,9.849537,10.20302,9.636011,8.822065,6.7997637,9.230709,7.642203,9.060548,10.020679,8.751405
2022-07-15,5.9754047,7.832747,6.9404635,6.459845,3.6120982,6.3536806,4.35846,7.2156267,7.938835,5.287546
2022-08-15,2.898602,6.242235,4.6442223,4.408415,1.0955034,3.0818853,2.6754563,5.9156265,6.280585,1.9007311
2022-09-15,2.6032116,5.9259644,3.8029413,3.5898304,0.4927126,2.303882,2.4575484,5.5800505,6.434986,1.6728551
2022-10-15,5.1758747,7.874504,5.5268617,4.932212,1.1553226,4.625099,3.664171,7.095231,8.537237,3.564762
2022-11-15,8.670034,10.090029,8.772359,6.540355,3.7462327,7.9868283,5.7086034,9.105156,10.342342,7.5111647
2022-12-15,10.909224,11.869706,11.18739,9.116375,8.327195,10.098695,8.871,11.355239,12.091625,10.796942
2023-01-15,12.586773,13.9963255,13.065983,11.338301,11.196629,11.892961,11.102844,13.13833,13.314526,12.867379
2023-02-15,14.006498,15.213008,13.583076,12.425831,12.437828,13.101615,12.038844,14.008198,13.991815,13.974923
2023-03-15,14.288373,15.372383,13.640015,12.970429,12.705392,13.252434,12.372717,13.833656,13.650574,14.261205
2023-04-15,14.049991,14.519442,13.012014,12.405706,11.993177,12.701551,11.791319,13.108257,13.125152,13.660824
2023-05-15,12.413271,12.661237,11.632458,10.824563,10.565579,10.924275,10.278512,11.329778,11.672996,11.333803
2023-06-15,9.649509,10.190035,9.482191,8.73558,7.589207,8.744662,7.7389264,9.376806,9.727699,8.4797
2023-07-15,5.6251664,8.17481,7.1377463,6.0398602,4.7938576,5.104861,4.822879,7.060139,7.7014585,5.0203495
2023-08-15,2.7060525,6.585226,5.0473666,3.4381967,1.8788884,1.8599403,2.7199206,5.4005995,6.062906,1.9451548
2023-09-15,2.6363735,6.0763297,4.254981,2.8605072,0.8849727,1.093201,2.558928,4.9759636,5.93625,1.5126033
2023-10-15,5.3149223,7.977766,6.048635,4.31936,1.9048331,3.7478883,4.5809402,6.0350876,8.031284,3.1049998
2023-11-15,8.605287,10.289989,8.738725,6.0380683,5.558095,6.835579,7.4301157,8.290757,10.0642805,6.392738
2023-12-15,10.948623,12.374594,10.560505,8.831635,8.494296,9.854247,9.319717,11.029173,11.6658535,10.631219
2024-01-15,12.922013,14.150742,12.486601,10.904507,11.064321,12.142074,11.292155,12.902698,13.162932,12.907117
2024-02-15,14.0397005,15.339626,13.172012,12.307398,12.120105,13.0138235,12.350542,13.5638275,13.897043,14.21885
2024-03-15,14.781039,16.024395,13.30699,12.783711,12.623227,13.427172,12.460733,13.695604,13.7728615,14.3314705
2024-04-15,14.346233,15.48703,12.823932,12.207625,12.101816,12.650594,11.757816,13.062029,12.992909,13.504632
2024-05-15,12.660643,13.390161,11.449295,10.641518,10.2751465,11.112557,10.36256,11.202806,11.538039,11.078086
2024-06-15,10.267423,10.720913,9.121581,8.37374,7.0708117,8.80176,7.7578464,8.955422,9.767332,7.9805346
2024-07-15,6.1584167,8.273425,6.5621543,5.961358,4.2868,5.3699527,5.0298014,6.5717535,7.3002524,4.874142
2024-08-15,2.439806,6.569563,4.2880487,3.8763974,2.1517365,2.0055451,3.1088853,4.9248333,5.5954947,1.9782375
2024-09-15,2.1578777,6.2175913,3.5119927,3.303507,1.3032762,1.1299276,2.9458451,4.692338,5.2594934,1.725872
2024-10-15,4.9452524,8.1267185,5.355409,4.592255,2.505286,3.2110853,4.906646,5.974586,7.471941,3.6746314
2024-11-15,8.859571,10.68232,7.9347854,6.4157653,5.238393,6.571557,7.4369073,8.272203,10.076622,6.5863986
2024-12-15,11.453869,12.413903,10.149711,9.266346,8.977788,9.505541,9.664025,10.476738,12.207226,10.935564
2025-01-15,13.090217,14.048237,12.279204,11.143225,11.829912,11.910181,11.277294,12.47781,13.688151,13.314032
2025-02-15,14.2738495,15.642326,13.44064,12.5141535,12.800572,13.137483,12.206365,13.533411,14.153992,14.694244
2025-03-15,14.78587,15.842729,13.681169,12.799115,12.846712,13.415212,12.572108,13.544811,14.282005,14.637578
2025-04-15,14.27907,14.854338,13.299551,12.325642,12.452432,13.003351,11.796671,12.663652,13.5187645,13.655333
2025-05-15,12.499927,13.056934,11.923811,10.870797,10.668593,11.256692,9.88031,10.74313,11.90772,11.61157
2025-06-15,9.921722,10.467533,9.412591,8.830558,7.627155,9.121672,7.490519,8.646233,9.768107,9.142756
2025-07-15,5.829569,8.240183,6.5855207,6.389613,4.6399837,5.6761518,4.9732323,6.301894,7.5593762,5.4527235
2025-08-15,2.6218414,6.7793007,4.009873,4.2112465,2.1831121,1.5345287,3.2397635,4.9905386,5.7094584,1.9458858
2025-09-15,2.4474356,6.377446,3.1499472,3.462632,1.4068104,0.6668975,2.73007,4.754269,5.4637656,1.6157594
2025-10-15,4.9146385,8.087931,5.175902,4.642405,2.8207264,2.87307,4.391635,6.0031376,7.8576207,3.7296743
